Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,26748,14844,44895,30174,46820,81311,67525,90470,74988,54501,121289,48648
1914,25416,14310,12778,13197,26676,29940,74685,55016,36853,21854,13601,15147
1915,12675,7097,6379,7601,26149,45759,68625,94990,73154,65959,50126,27911
1916,19797,21217,19156,14091,16037,19744,44013,57397,101628,130783,139125,78302
1917,36027,19793,18992,35092,62733,154232,137395,142350,179362,147589,62441,34211
1918,33906,27054,27372,16099,74466,108378,146289,78442,100118,47855,35008,24403
1919,14895,17783,33797,16938,29105,38822,72745,78053,108372,48219,28584,30948
1920,27048,10686,11508,16803,26593,38845,51211,98346,119046,92292,62439,35178
1921,20522,10973,12579,10471,13051,26026,43110,154672,132891,89044,53157,33797
1922,24491,13809,10385,10369,17239,21019,78806,57958,78339,78871,68854,25891
1923,23012,13239,9443,7465,27740,67151,108705,130247,138647,244167,98171,46422
1924,36222,33790,30053,41623,39147,41989,38596,104652,85006,111455,70871,46963
1925,35286,28676,21224,17389,58182,28127,95102,81111,83308,83754,35539,21979
1926,17195,9503,15367,18300,44886,39067,61573,72484,58431,94618,48686,26246
1927,15626,11756,11170,10565,22283,23974,59523,91953,94802,97676,33589,22628
1928,15838,33524,27319,20682,77369,76213,49981,35627,61621,127211,66683,29646
1929,16910,15070,13267,25368,47720,76499,74702,78338,64363,55830,44926,59241
1930,32942,20430,14062,13962,31527,32859,38200,70795,59053,79455,63137,80559
1931,53615,22015,31489,29619,50775,97959,103482,126712,130819,67341,54268,34063
1932,16239,12309,19498,56209,28219,56771,92836,107081,97922,88898,46163,35108
1933,23680,14977,14347,12699,15213,39234,68247,71696,109367,61090,28942,43447
1934,35510,19616,13575,39641,21020,19362,58808,67516,44014,90797,91846,159040
1935,45664,64859,28506,135676,105748,73824,97074,145685,78451,74587,56379,42532
1936,31220,17439,13827,29467,19923,66675,67224,127566,73686,55578,64983,53231
1937,41101,22674,23193,19740,28910,29436,34617,40517,63309,69436,31827,19819
1938,14883,14649,15943,17717,17001,35297,46750,38533,36197,19759,13529,10218
1939,6775,29757,32692,33043,28425,58163,60691,186336,206494,111835,62791,60284
1940,31171,19211,18091,20157,24508,40897,53737,53305,44577,34781,34356,25789
1941,40498,18979,28700,24284,20758,50885,74817,86978,67291,67954,37644,46965
1942,25326,16645,18141,17695,83943,68937,110003,73550,126390,81988,85123,46501
1943,29387,17768,14118,34597,35130,50472,87256,78312,97450,68162,38449,33956
1944,18913,13387,16473,26530,149401,66907,79005,62237,43119,37834,31573,22469
1945,17784,16214,13461,16268,28438,27724,34061,80780,74769,47232,52002,27175
1946,18347,18086,42250,50467,34126,60984,93446,132277,77824,89996,66523,39638
1947,24571,15778,39506,21752,17507,44184,135557,125974,94246,95931,94263,54942
1948,42327,21762,16967,30241,69932,67715,55718,61706,79145,90484,107166,37340
1949,27038,16522,25570,21224,25383,43403,78225,53153,41780,58666,107369,46715
1950,22100,23462,50754,80483,23113,26277,44236,39792,65919,78503,70699,32449
1951,21382,25240,15345,28943,55825,75289,120157,167852,90404,83447,64078,50472
1952,30878,18325,18362,34142,53679,260871,163658,113693,138317,106780,162965,170884
1953,40415,24849,15707,12810,24991,44087,107480,129222,124129,200808,142341,45406
1954,25305,26540,16047,15788,29200,44293,46967,53164,53339,31597,86969,59693
1955,22633,19338,14200,14580,26513,43875,53494,161050,106995,80261,58922,73736
1956,126692,33962,23526,43248,99453,118591,134648,156600,159036,149592,131986,52614
1957,26184,15916,15536,12528,29694,25953,50673,39115,83644,126701,52893,37788
1958,18348,16209,11967,9926,23932,24866,54798,164903,81996,105355,67271,47984
1959,23207,14846,14803,12184,13476,31278,36117,87383,113454,101882,33837,22070
1960,12405,11210,7433,20832,147075,88839,133211,110261,97070,93526,113788,42082
1961,19925,11561,16489,16917,20493,36485,80119,85344,78793,30109,18980,13581
1962,11759,8564,7270,6374,21893,41817,44048,78489,68545,90803,41115,29523
1963,23176,17250,11653,10856,52227,37189,74144,82853,98967,51866,33122,21133
1964,11053,13576,10985,13098,17000,38671,145065,172055,107393,110196,43964,39702
1965,23383,11342,11294,17764,16249,17311,35239,74633,61451,33071,35231,37733
1966,14542,11259,13533,14033,24641,24185,44401,112448,83246,71439,66660,41023
1967,18910,9485,10727,9916,10181,11203,14902,37187,63114,27649,13606,13871
1968,9016,3684,4576,7458,40834,81813,67644,90964,67947,130261,73425,45767
1969,21468,14786,14696,19183,36556,71857,45451,54075,76625,65238,36273,46441
1970,35704,13575,22389,35461,100090,85502,101088,133104,102110,53916,50134,34253
1971,29067,25229,14427,15877,57382,71757,56585,45244,80967,137418,124882,42273
1972,25371,20861,13862,18665,22682,14475,44522,51178,44943,38146,25255,14139
1973,10984,32195,19250,20821,38469,55275,43516,85262,113054,66620,57042,33846
1974,27387,14929,12157,23410,71496,41732,133216,179680,127329,132958,67928,46330
1975,25324,14585,16147,18806,29499,45263,56543,118917,142296,104506,104559,39948
1976,22592,13926,14200,11472,13386,21041,20539,88626,88804,120324,59804,45882
1977,25270,15337,13649,20069,23479,103492,128338,126207,60446,42176,23017,15190
1978,13599,10948,13981,15700,28295,88674,85535,105845,99097,62267,51234,56532
1979,26395,15188,17494,17114,23818,21688,25908,47895,75690,73991,31076,18104
1980,19471,9872,9644,9896,14168,29877,90412,83259,108653,48668,46632,28076
1981,14752,10352,17421,10874,19495,33526,90434,153187,83912,46488,30390,19804
1982,15501,9528,12411,12285,20693,25849,21271,25539,28679,26852,15774,13858
1983,10482,4644,6072,9520,18244,30426,57462,55739,95701,70556,55888,52599
1984,23108,13704,19188,20696,16920,22253,46868,142372,114586,90392,36426,27768
1985,17811,9907,11690,20242,17510,35964,46887,137269,78061,54011,51093,63042
1986,39572,18747,13417,19837,28304,40917,128829,67594,71905,94006,50994,61473
1987,28877,15544,17600,18050,25256,36168,68950,67053,73323,45907,30520,34374
1988,16592,8864,12297,11388,20347,44713,52909,69952,75967,58826,45892,46090
1989,24344,12136,16837,19966,22710,60589,59939,95799,95382,116181,78136,27731
1990,14259,16340,9877,41820,25316,34975,128641,161647,117722,79703,42137,25082
1991,22466,7957,8146,8492,9484,31652,83691,139420,181314,66700,32254,36477
1992,40951,17197,16275,13989,20948,45726,44678,76513,159215,169435,64942,90018
1993,42505,30057,29238,18745,18155,38420,53382,98428,170825,79910,90375,45283
1994,40237,32129,28455,24806,28459,45723,40231,57081,51762,83361,68249,26092
1995,19342,9902,9894,32329,39371,95992,119093,119294,57187,70723,53173,40469
1996,30929,48325,27331,63916,35561,36882,82667,146632,153002,126912,44599,29618
1997,19724,10056,9660,9132,13921,17010,18592,28687,50746,23847,21460,9421
1998,10196,7827,4472,7342,18892,45679,55183,54224,64670,82435,49762,32272
1999,19919,11656,12666,12588,13906,30819,26740,52935,52052,38536,23954,22412
2000,24859,11588,9219,8393,24600,69715,52493,66550,118207,77049,69775,27461
2001,17150,10030,13065,14188,10552,26211,32579,67900,59512,62885,78318,33895
2002,23571,16581,12033,11464,19531,23862,57593,41405,41118,35824,21437,19683
2003,9552,7139,10111,13781,15280,29905,50153,95152,93038,80718,76284,27724
2004,15654,12155,7416,14214,16432,47631,62008,77523,80944,50638,86942,36447
2005,22641,27790,13013,10173,9694,17962,26390,56307,103252,48983,29746,23899
2006,11523,6248,6729,16814,22794,12077,18718,21994,19267,10956,10411,5806
2007,5443,5104,7696,6336,10945,57389,87411,62546,42969,33432,32304,20093
2008,11161,9972,6126,5548,11065,16718,36465,58633,37159,22440,32402,39539
2009,14242,5688,7972,10117,11267,14577,36025,41299,86680,94397,27036,19070
2010,14219,11329,13352,13565,19862,33544,42219,101097,125045,62210,60507,62080
2011,33674,31850,25442,32872,48439,78308,107604,66561,41330,55640,57766,53678
2012,27416,18394,32909,22027,38802,116924,88299,101830,103953,55612,30403,21353
2013,8405,7181,7727,8075,17475,36527,45924,108569,59029,60943,47817,34678
2014,16167,8642,9563,14762,19959,49105,112620,73046,42562,34843,22010,16317
2015,12088,8504,7788,12736,28950,20994,49164,74172,46825,21368,14112,9254
2016,11026,6058,8416,6288,16460,32751,81722,76009,60142,103961,45798,27455
2017,15366,12046,10047,15415,14964,15976,26772,74863,102691,42316,26215,47796
2018,16385,7666,7511,8018,18686,31480,48513,98927,55658,26273,29159,20142
2019,8927,6426,6776,8462,16273,33585,70848,103811,97348,40247,47224,23056
2020,23866,21717,18345,35114,84463,48950,74789,105965,62110,89755,40595,25960
2021,22556,13631,16736,17005,26834,107327,81397,78947,100576,102171,73802,35200
